SEO_ID,PERMNO,filing_dt,Issuer_Borrower_Name_Full,SDC_Deal_Number,Gross_Proceeds,utility_flag,financial_flag,realestate_flag,sample_version
2038,15493,15NOV2016,Aqua Metals Inc,3036686002,20000000,1,0,0,2
8411,20834,07FEB2023,Longboard Pharmaceuticals Inc,4036870002,20000000,0,0,0,2
3673,16008,17JUL2018,Global Water Resources Inc,3268036002,13875000,1,0,0,2
6704,92648,15MAR2021,Colfax Corp,3711751002,644000000,0,0,0,2
3552,75860,05JUN2018,ImmunoGen Inc,3252501002,150700000,0,0,0,2
4871,15284,21JAN2020,Blueprint Medicines Corp,3505781002,324999936,0,0,0,2
6355,18408,03FEB2021,Kaleido Biosciences Inc,3694508002,60375000,0,0,0,2
1956,91964,07SEP2016,Ocean Power Technologies Inc,3003322002,6600000,0,0,0,2
8710,76672,13JUN2023,RadNet Inc,4093443002,225356250,0,0,0,2
5726,18205,30SEP2020,Logicbio Therapeutics Inc,3643910002,42000000,0,0,0,2
2277,12356,26JAN2017,The KEYW Holding Corp,3065476002,89250000,0,0,0,2
4288,93436,01MAY2019,Tesla Inc,3387753002,749999817,0,0,0,2
3586,16816,12JUN2018,Brighthouse Financial Inc,3256257002,1030402706.5,0,1,0,2
4469,14991,18JUL2019,Atara Biotherapeutics Inc,3432038002,104999988.56,0,0,0,2
8526,20654,03APR2023,The Duckhorn Portfolio Inc,4062387002,92100000,0,0,0,2
6857,15407,15APR2021,SeaSpine Holdings Corp,3729032002,87750000,0,0,0,2
10104,18257,10DEC2024,Eton Pharmaceuticals Inc,4327634002,7000008,0,0,0,2
2226,12788,11JAN2017,Kosmos Energy Ltd,3060168002,199500000,0,0,0,2
7485,85002,12OCT2021,Sarepta Therapeutics Inc,3813317002,500000040,0,0,0,2
1196,15128,15JAN2016,Hortonworks Inc,2899090002,80037500,0,0,0,2
7947,87759,18JAN2022,TeraWulf Inc,3901985002,20573305.74,0,0,0,2
9616,12497,16JUN2024,Assembly Biosciences Inc,4249963002,9733230,0,0,0,2
